class,elements,total_time,threads,write_level
CopyOnWriteArrayList,450,5811753196,4,3
CopyOnWriteArrayList,450,9920988890,7,3
CopyOnWriteArrayList,450,15912854858,10,3
ConcurrentHashMap,500,592934,1,3
ConcurrentHashMap,500,1147937,4,3
ConcurrentHashMap,500,1802069,7,3
ConcurrentHashMap,500,2238603,10,3
SynchronizedMap,500,397922,1,3
SynchronizedMap,500,1915843,4,3
SynchronizedMap,500,5250836,7,3
SynchronizedMap,500,12403553,10,3
SynchronizedRandomAccessList,500,5477645990,1,3
SynchronizedRandomAccessList,500,465388948,4,3
SynchronizedRandomAccessList,500,825245195,7,3
SynchronizedRandomAccessList,500,1227999260,10,3
CopyOnWriteArrayList,500,1870587640,1,3
CopyOnWriteArrayList,500,7336238079,4,3
CopyOnWriteArrayList,500,11665490028,7,3
CopyOnWriteArrayList,500,16856630523,10,3
ConcurrentHashMap,50,10850310,1,4
ConcurrentHashMap,50,658674,4,4
ConcurrentHashMap,50,986558,7,4
ConcurrentHashMap,50,2467860,10,4
SynchronizedMap,50,237606,1,4
SynchronizedMap,50,356746,4,4
SynchronizedMap,50,5274779,7,4
SynchronizedMap,50,1352183,10,4
SynchronizedRandomAccessList,50,15417521,1,4
SynchronizedRandomAccessList,50,63314693,4,4
SynchronizedRandomAccessList,50,112868541,7,4
SynchronizedRandomAccessList,50,160598926,10,4
CopyOnWriteArrayList,50,331227198,1,4
CopyOnWriteArrayList,50,809516621,4,4
CopyOnWriteArrayList,50,1429408687,7,4
CopyOnWriteArrayList,50,2473067817,10,4
ConcurrentHashMap,100,5734403,1,4
ConcurrentHashMap,100,11211436,4,4
ConcurrentHashMap,100,1028102,7,4
ConcurrentHashMap,100,1432174,10,4
SynchronizedMap,100,154608,1,4
SynchronizedMap,100,639705,4,4
SynchronizedMap,100,992224,7,4
SynchronizedMap,100,1324344,10,4
SynchronizedRandomAccessList,100,90101364,1,4
SynchronizedRandomAccessList,100,128696227,4,4
SynchronizedRandomAccessList,100,227810136,7,4
SynchronizedRandomAccessList,100,328387470,10,4
CopyOnWriteArrayList,100,376681645,1,4
CopyOnWriteArrayList,100,2095007140,4,4
CopyOnWriteArrayList,100,3145129066,7,4
CopyOnWriteArrayList,100,4747727012,10,4
ConcurrentHashMap,150,15155605,1,4
ConcurrentHashMap,150,15338171,4,4
ConcurrentHashMap,150,3134054,7,4
ConcurrentHashMap,150,3725931,10,4
SynchronizedMap,150,202461,1,4
SynchronizedMap,150,852746,4,4
SynchronizedMap,150,1795473,7,4
SynchronizedMap,150,1449159,10,4
SynchronizedRandomAccessList,150,52595842,1,4
SynchronizedRandomAccessList,150,199242638,4,4
SynchronizedRandomAccessList,150,348553765,7,4
SynchronizedRandomAccessList,150,500731918,10,4
CopyOnWriteArrayList,150,676719154,1,4
CopyOnWriteArrayList,150,2556958051,4,4
CopyOnWriteArrayList,150,4932964702,7,4
CopyOnWriteArrayList,150,7623083941,10,4
ConcurrentHashMap,200,350852,1,4
ConcurrentHashMap,200,943099,4,4
ConcurrentHashMap,200,1604790,7,4
ConcurrentHashMap,200,2064934,10,4
SynchronizedMap,200,222761,1,4
SynchronizedMap,200,3060408,4,4
SynchronizedMap,200,21052044,7,4
SynchronizedMap,200,2258148,10,4
SynchronizedRandomAccessList,200,63623935,1,4
SynchronizedRandomAccessList,200,276957659,4,4
